11:32:26 | UDP | 192.168.145.1 -> 224.0.0.251 | 87 bytes
11:32:27 | UDP | 192.168.145.1 -> 239.255.255.250 | 167 bytes
11:32:36 | UDP | 192.168.145.1 -> 192.168.145.255 | 86 bytes
11:32:55 | UDP | 192.168.145.128 -> 192.168.145.2 | 70 bytes
11:32:55 | UDP | 192.168.145.128 -> 192.168.145.2 | 70 bytes
11:32:55 | UDP | 192.168.145.2 -> 192.168.145.128 | 86 bytes
11:32:55 | UDP | 192.168.145.2 -> 192.168.145.128 | 98 bytes
11:32:55 | ICMP | 192.168.145.128 -> 142.251.43.174 | 98 bytes
11:32:55 | ICMP | 142.251.43.174 -> 192.168.145.128 | 98 bytes
11:32:55 | UDP | 192.168.145.128 -> 192.168.145.2 | 87 bytes
11:32:55 | UDP | 192.168.145.2 -> 192.168.145.128 | 157 bytes
11:32:56 | ICMP | 192.168.145.128 -> 142.251.43.174 | 98 bytes
11:32:56 | ICMP | 142.251.43.174 -> 192.168.145.128 | 98 bytes
11:32:57 | ICMP | 192.168.145.128 -> 142.251.43.174 | 98 bytes
11:32:57 | ICMP | 142.251.43.174 -> 192.168.145.128 | 98 bytes
11:33:06 | UDP | 192.168.145.1 -> 192.168.145.255 | 86 bytes
11:33:25 | UDP | 192.168.145.1 -> 239.255.255.250 | 212 bytes
11:33:25 | UDP | 192.168.145.1 -> 239.255.255.250 | 212 bytes
11:33:26 | UDP | 192.168.145.1 -> 239.255.255.250 | 212 bytes
11:33:26 | UDP | 192.168.145.1 -> 239.255.255.250 | 212 bytes
11:33:27 | UDP | 192.168.145.1 -> 239.255.255.250 | 212 bytes
11:33:27 | UDP | 192.168.145.1 -> 239.255.255.250 | 212 bytes
11:33:28 | UDP | 192.168.145.1 -> 239.255.255.250 | 212 bytes
11:33:28 | UDP | 192.168.145.1 -> 239.255.255.250 | 212 bytes
11:33:36 | UDP | 192.168.145.1 -> 192.168.145.255 | 86 bytes
